time (seconds),encoderLeft (meters),encoderRight (meters)
24.401,0.1929316222667694,0.09656192362308502
24.497,0.1979304403066635,0.10156060010194778
24.602,0.20292928814888,0.10655931383371353
24.701999999999998,0.2079281359910965,0.11155802756547928
24.801,0.2129269689321518,0.11655674129724503
24.902,0.21792584657669067,0.12155548483133316
25.001,0.22292464971542358,0.12655416131019592
25.101,0.22792352735996246,0.13155288994312286
25.201,0.23286080360412598,0.13651372492313385
25.302,0.23168817162513733,0.1376897692680359
25.402,0.23051249980926514,0.13886362314224243
25.501,0.2293367236852646,0.1400374174118042
25.599,0.2281610071659088,0.14121124148368835
25.701,0.22698521614074707,0.14238500595092773
25.802,0.2258094996213913,0.14355884492397308
25.903,0.22463370859622955,0.14473262429237366
26,0.22345797717571259,0.14590643346309662
26.102,0.22228220105171204,0.1470802277326584
26.202,0.22110646963119507,0.14825403690338135
26.301,0.2199307382106781,0.1494278609752655
26.4,0.21875496208667755,0.15060164034366608
26.501,0.21757924556732178,0.15177546441555023
26.601,0.21640343964099884,0.1529492288827896
26.701999999999998,0.21522767841815948,0.15412300825119019
26.799,0.21411368250846863,0.1553346961736679
26.899,0.2191084772348404,0.1603316217660904
27.002,0.22410725057125092,0.16533027589321136
27.102,0.2291061282157898,0.1703290194272995
27.194,0.2341049611568451,0.17532771825790405
27.302,0.2391037791967392,0.1803264170885086
27.402,0.24410264194011688,0.18532514572143555
27.513,0.2491014450788498,0.1903238296508789
27.602,0.2541002929210663,0.19532252848148346
27.699,0.2590991258621216,0.2003212422132492
27.799,0.2640979588031769,0.20531992614269257
27.902,0.26909682154655457,0.2103186547756195
28.004,0.27409565448760986,0.21531736850738525
28.102,0.27909448742866516,0.2203160673379898
28.202,0.28409329056739807,0.22531475126743317
28.302,0.28909212350845337,0.23031342029571533
28.402,0.29409095644950867,0.23531214892864227
28.503,0.29908981919288635,0.2403108775615692
28.602,0.30408868193626404,0.24530959129333496
28.701999999999998,0.30908748507499695,0.2503082752227783
28.802,0.31408631801605225,0.2553069591522217
28.901,0.31908515095710754,0.2603056728839874
29,0.32408398389816284,0.2653043866157532
29.102,0.32908281683921814,0.27030307054519653
29.202,0.33408164978027344,0.2753017842769623
29.302,0.3390306234359741,0.2802506387233734
29.399,0.33902043104171753,0.28026342391967773
29.504,0.3378453552722931,0.28143638372421265
29.602,0.33666959404945374,0.2826101779937744
29.701999999999998,0.33549386262893677,0.28378400206565857
